Lodwar,Month,Year
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
5.3,Oct,2014
2,Oct,2014
0,Oct,2014
0,Oct,2014
3.2,Oct,2014
1.6,Oct,2014
0,Oct,2014
0,Oct,2014
6,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0,Nov,2014
0.01,Nov,2014
0.01,Nov,2014
0,Nov,2014
0.01,Nov,2014
0,Nov,2014
0,Nov,2014
17.4,Nov,2014
0.6,Nov,2014
0,Nov,2014
0.01,Nov,2014
2.3,Nov,2014
,Nov,2014
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Jan,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
0,Feb,2015
,Feb,2015
,Feb,2015
,Feb,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Mar,2015
0,Apr,2015
0,Apr,2015
84.8,Apr,2015
3.1,Apr,2015
0,Apr,2015
0.01,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0.01,Apr,2015
0,Apr,2015
4.2,Apr,2015
0.2,Apr,2015
0.6,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
0,Apr,2015
,Apr,2015
0.5,Apr,2015
0,Apr,2015
0,Apr,2015
,Apr,2015
3.4,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0.01,May,2015
25.6,May,2015
0.8,May,2015
0.01,May,2015
0,May,2015
1.2,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,May,2015
0,Jun,2015
1.2,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0.01,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
1.4,Jun,2015
0,Jun,2015
0,Jun,2015
0,Jun,2015
