2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0.01,0.8,0.01,9,0.01,10.3,0,0,0,0.01,1.4,2,0,0
0,0,0,2.2,0,0,0,0,0,0,0.01,0.7,1,2
0,0,0,0.01,0,0.4,0,0,0,0,0.4,0,0,0
0,1.4,0,8.3,3.6,2.1,0.01,2,0,0,4.2,0,0.4,2.5
0,0,0,23.4,0,2.4,0,4.2,0,0,3,0,0,2
0,1.5,0,5.8,0.01,1.4,0,0.5,0,0.7,0,0,0.01,1.4
0,0.9,0,5.5,0.4,0.6,0.5,1,0,0,0,0,0,0
0,0.2,5.4,0,0.01,0,0.2,1.6,19.1,0,2.9,0,0,8.5
1.5,0,7.3,2.7,0,10.7,0,1.6,9.6,0.01,0,0,0,3.6
14.2,6.8,20.5,0.01,1.6,5.7,0,2.4,6.9,0.01,0,1.2,0,0.1
0.3,3,17.7,0,0,0,0,0,0.8,0,2.9,0.1,0,0.01
3.5,0.01,0,2,0,0,1.2,0,10.4,0,0.1,0,0.2,0
16.7,1.5,0,0.01,4.2,2.3,0.4,0.01,2.3,0,0,0,0,0
9.8,0.01,0,4.8,1.8,0.5,1.9,0,0.5,0,0.9,0,0,0
0,0,0,16.7,0,0,0,0,0.3,1.3,6.5,2.7,0,0
0,1,0,7.9,0,0,0,0,0,0.01,0.6,0,0,2.6
0,0.01,0.1,0,0.2,0.1,0,0,0,0.8,0,3,0,0.4
0,0.7,0,0,0,0,7.1,0.01,0,3.2,0,0.4,0.8,0
0,0,2.8,0,0,0,43.2,0.5,0,0,1.2,5,0,0
0,0,0,0,0,0,4.9,25.1,0,0,0,0,0.01,4.6
0.01,0,3,0,0,0,0,1.1,0,0,0,0.01,0,0.5
1.8,0,0,0,1.5,1.6,0.01,1.2,0.4,46.8,0,0,1.2,0.8
0,0,0,0,0,0.4,0,9.1,0.5,2.6,0,2.5,4.5,0
0,0,0,0,0,1.1,0,0.7,8.7,0,0,4,0,0
7.9,0,0,0,0,0,0,0,19.1,0.6,0.6,1.7,0.01,0
3.5,0,0,0,0,0,0,118.9,0.01,0,0,0,0.3,0.01
0,0,0,0,4.5,2.7,0,17.5,1.8,0.2,0,0,4.3,0
0,0.01,0,0,0.9,7.3,0.6,0.9,0.4,0.01,0,0,3.6,1
1.8,0.5,0,0,0,0,4.8,1.2,0.01,0,0.4,0,12.7,0.2
4.9,2.3,4.3,0,0,1.6,2,0,5,0,0,0,5.6,0
0.6,0.2,12,0,0,0,0,0,6.8,1.1,0,0.3,0,0
0.01,0,1.2,0,4.8,0,0,0.9,7.5,0,0,0,0.7,0.01
0,0,13.4,0,0,0,0,0.6,4.5,0,0,0,16.8,0
0,0.01,0,4,0,0.01,1.7,0.4,10.1,4.2,0,0.2,7,1.5
0,0.01,10.5,21.8,0,0,0,4.6,35.4,1.4,0,0.2,6.1,0.4
0.01,0.4,8.5,12.1,28.7,0,1.8,0,0,0,0,0,9.8,1
6.9,0.01,2.7,47.5,3.9,0,0,0,0.5,0,0,0,0,0
0.2,0.01,0,0,0,0,1,0,24.7,0,1.3,3.6,0.01,0
40.5,3.6,0,0,0,0,0,0,3.7,0,0,0,0,1.7
10.8,24.4,7.7,2.2,0,0,0,0.3,0.7,0,0,0,0,0
11.9,25.6,3.2,1.7,38.6,0,0,0.7,8.1,0,0.01,0,0,2.2
94.2,38.6,0,2.3,0,0,0,0.01,65.1,0,0,0,0,11.1
23.6,2.4,0,1.2,0,0,0,0,77.6,7,0,0.01,0,3.1
7.7,0,0,0,35.9,0,0,4.1,0,0,0,0,0,0
13.1,0.01,0,0,8.6,0,0,5.1,0.4,0.01,0,0,4.2,0
5.6,0,0,0,0,0,0,0,118.5,0.1,2,0,13.4,0
5.5,0,0,0,3.6,0,0,4.1,9.8,0.1,0.01,2,0.6,0
0.4,0,0,0,1.2,0,0,0.01,0.2,0,34.6,0.01,6.1,0.6
0,0,0,0.4,0,0,0,0,2.4,0,0,0,2.6,0
0,1.4,0,0,0,0,0.5,0,10.7,0,0,0,17.1,0
1.5,0,0,6.3,0,0,0,0.01,0.01,2.9,0,0.01,0,0
0,0,0,40.3,0,0,14.5,2.1,0.3,9.8,0,6.5,0.01,0
0,0,2.7,0,4.4,0,19.8,4.8,40.5,0,0,0.4,0,0
0,0,0,0,0,2,5.8,52.5,23.1,0,0,0.01,0.01,0
0,0,2.5,0,0,1.4,0,194,13.5,0.01,0,0.6,7.5,8.9
